user_id,post_id,label,grade,college,major,campus,board,tags,topic_type,time_period,location,location_scope,hot_score,final_hot_score,quality_score,content_sim_score,itemcf_score,profile_match_score,time_scene_score,location_scene_score,multi_interest_score,source_count,recall_sources,post_age_hours,dwell_time
u_ext_00294,p_ext_001690,0,大三,中文系,新闻学,东校园,竞赛科研,创新项目|竞赛|科研项目|组队,发展,中午,教学区,全校,96.1,2.403679985014231,0.0861271676300578,0.009962314491564466,0.0,0.08333333333333333,0.0,1.0,0.009962314491564466,0,unknown,935.5287286075,7
u_ext_00128,p_ext_000550,1,大一,法学院,法学,南校园,二手交易,电动车|二手交易|闲置|租房,生活,中午,图书馆,教学区,83.3,0.5318135734454519,0.0869281045751634,0.0,0.0,0.0,0.0,0.0,0.0,0,unknown,3735.212061940833,48
dElDZmU0VzYwV2VHemRpcmxxSFNwSVdTcXFpYVlaNTltSHBqcTRGc3FjNnZnSVdPZ0xpbmVvdXBxcnVXZmJCbWdLcWhiSnAzZkh1SGlXSjI=,p_ext_001952,1,大三,医学院,基础医学,东校园,问答求助,课程资料|求问|打印店,生活,中午,教学区,校外,166.1,3.92454113947032,0.10387263339070568,0.0017151638018801873,0.0,0.3,0.0,0.0,0.0017151638018801873,0,unknown,991.7620619408334,70
dzZXQmdJTzZsckNGdDVXcWZtaWtxSk81aUt1RmlZK3dpcUdhanBxbHZiKzBwWDE5bHFqSXJJS1VxdEdZbjdoN2c5dHJzbzJjaEltS2lXSjI=,p_ext_001390,1,研二,中文系,新闻学,深圳校区,问答求助,求问|校园卡|打印店|课程资料|宿舍,生活,中午,教学区,全校,536.2,54.83581778527128,0.04456861868573982,0.3111202366589155,0.0,0.625,0.0,1.0,0.3111202366589155,0,unknown,210.6787286075,88
u_ext_00314,p_ext_000591,0,研一,中文系,传播学,北校园,问答求助,打印店|求问,生活,中午,食堂区,校外,624.3000000000001,21.946587493130462,0.04522292993630573,0.004262448261431765,0.0,0.0,0.0,0.0,0.004262448261431765,0,unknown,658.7120619408333,6
u_ext_00343,p_ext_001887,0,大三,法学院,法学,东校园,二手交易,电动车|租房|教材|二手交易|闲置,生活,中午,宿舍区,全校,143.20000000000002,9.955139057698156,0.08804971319311664,0.0181651888204464,0.0,0.0,0.0,1.0,0.0181651888204464,0,unknown,321.22872860750005,3
czQrRmdaV3IwWW1FcHNpa2xwK2tycFduZUt1WVpKcUFqb2w4ajQyT25LeTRqWmVUZnBQVWFuK1NzdEdHbjg1K2k4MkVzSm1GaUhxRmlXSjI=,p_ext_000654,0,研一,法学院,法学,深圳校区,失物招领,校园卡|教学楼|钥匙|失物招领,生活,中午,教学区,食堂区,41.599999999999994,1.5066503084179026,0.018974358974358972,0.0,0.0,0.1,0.0,0.0,0.0,0,unknown,638.6620619408334,4
dTQ2TmZJemRxbWw5azY2MWpYcThnNHFTbnEySm5ZeHRnWitNcElxa3ZiQ3ZqWDJ4ZjlDU2U1SzZwcldVZmJpRmhhbXFwWXVHbnF1SGlXSjI=,p_ext_001981,1,大三,法学院,法学,珠海校区,问答求助,打印店|校园卡|求问,生活,下午,教学区,全校,382.1,8.466453386600772,0.065625,0.0060027758716422975,0.0,0.18181818181818182,0.0,1.0,0.0060027758716422975,0,unknown,1059.1453952741667,106
eHFPRWJaV25xMnFUemE2bmxtYW5aSmFxZktXWllZaUJtWitJZll0K25OU3Zmbld3aDgydmlZWGNwWkdLbjhhaGg1S2VpSnRqZklHT3IySjI=,p_ext_001431,1,研二,电子信息学院,电子信息工程,南校园,校园生活,宿舍|共享厨房|食堂,社交,下午,教学区,教学区,84.00000000000001,1.928518427631731,0.06819571865443425,0.03902720843427028,0.0,0.1,0.0,1.0,0.03902720843427028,0,unknown,1021.3620619408333,73
u_ext_00226,p_ext_001700,0,研三,中文系,传播学,北校园,二手交易,教材|租房,生活,下午,校外,食堂区,68.99999999999999,0.8318074341337519,0.07014925373134327,0.0,0.0,0.2,0.0,0.0,0.0,0,unknown,1966.8453952741668,5
