post_id,tag_id,tag_name,tag_weight,source
2101635776,tag_0001,求问,0.9845,extract
2101635776,tag_0002,校园卡,0.7735,extract
2101635776,tag_0003,南校,0.8993,extract
2101634205,tag_0004,二手交易,0.5626,extract
2101634205,tag_0005,闲置,0.9386,extract
2101634205,tag_0003,南校,0.8754,extract
2101633684,tag_0004,二手交易,0.5328,extract
2101633684,tag_0005,闲置,0.6851,extract
2101633377,tag_0001,求问,0.7001,extract
2101633377,tag_0002,校园卡,0.9932,extract
2101633377,tag_0003,南校,0.6628,extract
2101633377,tag_0006,租房,0.7313,extract
2101632238,tag_0001,求问,0.9645,extract
2101632238,tag_0002,校园卡,0.9627,extract
2101632238,tag_0007,东校,0.5068,extract
2101629901,tag_0004,二手交易,0.9135,extract
2101629901,tag_0005,闲置,0.531,extract
2101629901,tag_0003,南校,0.7931,extract
2101629901,tag_0008,搭子,0.9357,extract
2101629214,tag_0001,求问,0.7559,extract
2101629214,tag_0002,校园卡,0.7014,extract
2101623364,tag_0001,求问,0.5126,extract
2101623364,tag_0002,校园卡,0.5509,extract
2101622130,tag_0001,求问,0.9159,extract
2101622130,tag_0002,校园卡,0.6646,extract
2101621570,tag_0001,求问,0.5823,extract
2101621570,tag_0002,校园卡,0.5172,extract
2101621570,tag_0009,宿舍,0.7198,extract
2101617209,tag_0004,二手交易,0.6955,extract
2101617209,tag_0005,闲置,0.9779,extract
2101617209,tag_0003,南校,0.8663,extract
2101614176,tag_0001,求问,0.7352,extract
2101614176,tag_0002,校园卡,0.8623,extract
2101614176,tag_0003,南校,0.909,extract
2101614176,tag_0009,宿舍,0.6886,extract
2101613371,tag_0004,二手交易,0.8119,extract
2101613371,tag_0005,闲置,0.5214,extract
2101612909,tag_0010,交友,0.618,extract
2101612909,tag_0008,搭子,0.5429,extract
2101610652,tag_0001,求问,0.6703,extract
2101610652,tag_0002,校园卡,0.772,extract
2101610652,tag_0009,宿舍,0.5756,extract
2101610306,tag_0001,求问,0.7308,extract
2101610306,tag_0002,校园卡,0.5699,extract
2101610306,tag_0003,南校,0.9878,extract
2101608154,tag_0010,交友,0.9244,extract
2101608154,tag_0008,搭子,0.9475,extract
2101607896,tag_0001,求问,0.9952,extract
2101607896,tag_0002,校园卡,0.8018,extract
2101607896,tag_0007,东校,0.9382,extract
2101607896,tag_0011,食堂,0.9008,extract
2101607441,tag_0004,二手交易,0.6306,extract
2101607441,tag_0005,闲置,0.8822,extract
2101607441,tag_0007,东校,0.6126,extract
2101606621,tag_0001,求问,0.8194,extract
2101606621,tag_0002,校园卡,0.6235,extract
2101606621,tag_0003,南校,0.8668,extract
2101604866,tag_0001,求问,0.5184,extract
2101604866,tag_0002,校园卡,0.6921,extract
2101602365,tag_0001,求问,0.6496,extract
2101602365,tag_0002,校园卡,0.7753,extract
2101601867,tag_0004,二手交易,0.7681,extract
2101601867,tag_0005,闲置,0.7418,extract
2101601503,tag_0001,求问,0.6143,extract
2101601503,tag_0002,校园卡,0.848,extract
2101600938,tag_0004,二手交易,0.5069,extract
2101600938,tag_0005,闲置,0.727,extract
2101600478,tag_0001,求问,0.8021,extract
2101600478,tag_0002,校园卡,0.8663,extract
2101600478,tag_0007,东校,0.6587,extract
2101598143,tag_0004,二手交易,0.9991,extract
2101598143,tag_0005,闲置,0.628,extract
2101597153,tag_0004,二手交易,0.5018,extract
2101597153,tag_0005,闲置,0.5353,extract
2101597153,tag_0003,南校,0.8118,extract
2101589825,tag_0010,交友,0.873,extract
2101589825,tag_0008,搭子,0.8957,extract
2101589825,tag_0007,东校,0.5011,extract
2101589433,tag_0012,校园生活,0.7196,extract
2101589433,tag_0011,食堂,0.7818,extract
2101587925,tag_0001,求问,0.6771,extract
2101587925,tag_0002,校园卡,0.5033,extract
2101587925,tag_0003,南校,0.577,extract
2101587925,tag_0007,东校,0.8416,extract
2101587306,tag_0001,求问,0.7732,extract
2101587306,tag_0002,校园卡,0.7556,extract
2101586135,tag_0001,求问,0.5382,extract
2101586135,tag_0002,校园卡,0.5544,extract
2101585112,tag_0004,二手交易,0.7054,extract
2101585112,tag_0005,闲置,0.877,extract
2101585112,tag_0003,南校,0.6853,extract
2101584314,tag_0001,求问,0.6509,extract
2101584314,tag_0002,校园卡,0.945,extract
2101584314,tag_0009,宿舍,0.5498,extract
2101582125,tag_0001,求问,0.9406,extract
2101582125,tag_0002,校园卡,0.9508,extract
2101581383,tag_0001,求问,0.7432,extract
2101581383,tag_0002,校园卡,0.5762,extract
2101581383,tag_0009,宿舍,0.8081,extract
2101581383,tag_0006,租房,0.8489,extract
2101580916,tag_0001,求问,0.8723,extract
2101580916,tag_0002,校园卡,0.6049,extract
2101580742,tag_0001,求问,0.8002,extract
2101580742,tag_0002,校园卡,0.9127,extract
2101580743,tag_0001,求问,0.6527,extract
2101580743,tag_0002,校园卡,0.8931,extract
2101576983,tag_0004,二手交易,0.5136,extract
2101576983,tag_0005,闲置,0.5198,extract
2101576190,tag_0004,二手交易,0.9425,extract
2101576190,tag_0005,闲置,0.5457,extract
2101575959,tag_0001,求问,0.7683,extract
2101575959,tag_0002,校园卡,0.631,extract
2101572727,tag_0001,求问,0.5161,extract
2101572727,tag_0002,校园卡,0.5204,extract
2101572645,tag_0001,求问,0.6359,extract
2101572645,tag_0002,校园卡,0.6756,extract
2101572645,tag_0007,东校,0.8633,extract
2101570789,tag_0001,求问,0.8342,extract
2101570789,tag_0002,校园卡,0.9817,extract
2101569969,tag_0001,求问,0.8126,extract
2101569969,tag_0002,校园卡,0.5873,extract
2101569317,tag_0001,求问,0.9924,extract
2101569317,tag_0002,校园卡,0.6492,extract
2101567503,tag_0001,求问,0.6955,extract
2101567503,tag_0002,校园卡,0.5074,extract
2101566295,tag_0001,求问,0.9971,extract
2101566295,tag_0002,校园卡,0.9064,extract
2101566295,tag_0007,东校,0.9847,extract
2101566295,tag_0013,图书馆,0.7804,extract
2101566293,tag_0001,求问,0.6116,extract
2101566293,tag_0002,校园卡,0.8814,extract
2101562016,tag_0004,二手交易,0.5851,extract
2101562016,tag_0005,闲置,0.5445,extract
2101562016,tag_0009,宿舍,0.6941,extract
2101560280,tag_0001,求问,0.6298,extract
2101560280,tag_0002,校园卡,0.9911,extract
2101559833,tag_0004,二手交易,0.7684,extract
2101559833,tag_0005,闲置,0.8687,extract
2101559269,tag_0001,求问,0.9795,extract
2101559269,tag_0002,校园卡,0.5286,extract
2101557408,tag_0001,求问,0.6478,extract
2101557408,tag_0002,校园卡,0.9824,extract
2101556932,tag_0001,求问,0.9425,extract
2101556932,tag_0002,校园卡,0.703,extract
2101556378,tag_0001,求问,0.9231,extract
2101556378,tag_0002,校园卡,0.5192,extract
2101552196,tag_0001,求问,0.7827,extract
2101552196,tag_0002,校园卡,0.7018,extract
2101552196,tag_0003,南校,0.7031,extract
2101552196,tag_0008,搭子,0.7872,extract
2101549384,tag_0004,二手交易,0.5561,extract
2101549384,tag_0005,闲置,0.9458,extract
2101545311,tag_0001,求问,0.5501,extract
2101545311,tag_0002,校园卡,0.9246,extract
2101544463,tag_0001,求问,0.7034,extract
2101544463,tag_0002,校园卡,0.523,extract
2101544463,tag_0013,图书馆,0.5826,extract
2101543105,tag_0001,求问,0.5904,extract
2101543105,tag_0002,校园卡,0.7098,extract
2101541641,tag_0004,二手交易,0.9301,extract
2101541641,tag_0005,闲置,0.8804,extract
2101541641,tag_0003,南校,0.7718,extract
2101540770,tag_0001,求问,0.5187,extract
2101540770,tag_0002,校园卡,0.8641,extract
2101540770,tag_0007,东校,0.7732,extract
2101540021,tag_0004,二手交易,0.5649,extract
2101540021,tag_0005,闲置,0.6975,extract
2101539504,tag_0004,二手交易,0.9202,extract
2101539504,tag_0005,闲置,0.8848,extract
2101539189,tag_0001,求问,0.6432,extract
2101539189,tag_0002,校园卡,0.5739,extract
2101538067,tag_0001,求问,0.9186,extract
2101538067,tag_0002,校园卡,0.9272,extract
2101536968,tag_0001,求问,0.8945,extract
2101536968,tag_0002,校园卡,0.7501,extract
2101536968,tag_0003,南校,0.8784,extract
2101110140,tag_0001,求问,0.9108,extract
2101110140,tag_0002,校园卡,0.7164,extract
2101524138,tag_0001,求问,0.9081,extract
2101524138,tag_0002,校园卡,0.507,extract
2101535657,tag_0001,求问,0.7279,extract
2101535657,tag_0002,校园卡,0.6469,extract
2101534204,tag_0001,求问,0.9694,extract
2101534204,tag_0002,校园卡,0.6471,extract
2101533358,tag_0004,二手交易,0.9445,extract
2101533358,tag_0005,闲置,0.6732,extract
2101533358,tag_0014,实习,0.5277,extract
2101532187,tag_0001,求问,0.8912,extract
2101532187,tag_0002,校园卡,0.7263,extract
2101531847,tag_0001,求问,0.9699,extract
2101531847,tag_0002,校园卡,0.7295,extract
2101531847,tag_0003,南校,0.8272,extract
2101528808,tag_0001,求问,0.664,extract
2101528808,tag_0002,校园卡,0.517,extract
2101528808,tag_0009,宿舍,0.5765,extract
2101528808,tag_0006,租房,0.8688,extract
2101527263,tag_0001,求问,0.6153,extract
2101527263,tag_0002,校园卡,0.9632,extract
2101527263,tag_0013,图书馆,0.7063,extract
2101525731,tag_0001,求问,0.6683,extract
2101525731,tag_0002,校园卡,0.7015,extract
2101525731,tag_0009,宿舍,0.7143,extract
2101525731,tag_0006,租房,0.5805,extract
2101524050,tag_0001,求问,0.7481,extract
2101524050,tag_0002,校园卡,0.9011,extract
2101523410,tag_0001,求问,0.9936,extract
2101523410,tag_0002,校园卡,0.6885,extract
2101523410,tag_0009,宿舍,0.648,extract
2101523397,tag_0004,二手交易,0.5967,extract
2101523397,tag_0005,闲置,0.6525,extract
2101521276,tag_0001,求问,0.7883,extract
2101521276,tag_0002,校园卡,0.5667,extract
2101519891,tag_0001,求问,0.995,extract
2101519891,tag_0002,校园卡,0.781,extract
2101519846,tag_0012,校园生活,0.742,extract
2101519846,tag_0011,食堂,0.6903,extract
2101519846,tag_0009,宿舍,0.8226,extract
2101519051,tag_0001,求问,0.9084,extract
2101519051,tag_0002,校园卡,0.7141,extract
2101519045,tag_0010,交友,0.8766,extract
2101519045,tag_0008,搭子,0.8115,extract
2101518549,tag_0010,交友,0.9733,extract
2101518549,tag_0008,搭子,0.836,extract
2101518525,tag_0010,交友,0.8166,extract
2101518525,tag_0008,搭子,0.8767,extract
2101517403,tag_0001,求问,0.9085,extract
2101517403,tag_0002,校园卡,0.6845,extract
2091185831,tag_0010,交友,0.9063,extract
2091185831,tag_0008,搭子,0.5419,extract
2101516892,tag_0010,交友,0.7036,extract
2101516892,tag_0008,搭子,0.6887,extract
2101515525,tag_0001,求问,0.6618,extract
2101515525,tag_0002,校园卡,0.9014,extract
2101514503,tag_0001,求问,0.9551,extract
2101514503,tag_0002,校园卡,0.9469,extract
2101513711,tag_0001,求问,0.9648,extract
2101513711,tag_0002,校园卡,0.6967,extract
2101508313,tag_0001,求问,0.7413,extract
2101508313,tag_0002,校园卡,0.8699,extract
2101506544,tag_0001,求问,0.8646,extract
2101506544,tag_0002,校园卡,0.5217,extract
2101506146,tag_0012,校园生活,0.5792,extract
2101506146,tag_0011,食堂,0.8602,extract
2101506146,tag_0009,宿舍,0.571,extract
2101504655,tag_0012,校园生活,0.7687,extract
2101504655,tag_0011,食堂,0.5854,extract
p_ext_000101,tag_0015,课程资料,0.8283,extract
p_ext_000101,tag_0016,打印店,0.7308,extract
p_ext_000101,tag_0009,宿舍,0.7322,extract
p_ext_000102,tag_0009,宿舍,0.6695,extract
p_ext_000102,tag_0002,校园卡,0.5712,extract
p_ext_000102,tag_0015,课程资料,0.9384,extract
p_ext_000103,tag_0001,求问,0.7322,extract
p_ext_000103,tag_0009,宿舍,0.8878,extract
p_ext_000103,tag_0016,打印店,0.6378,extract
p_ext_000103,tag_0015,课程资料,0.7796,extract
p_ext_000104,tag_0017,408,0.514,extract
p_ext_000104,tag_0018,考研,0.5199,extract
p_ext_000105,tag_0019,期末,0.9516,extract
p_ext_000105,tag_0020,选课,0.8139,extract
p_ext_000106,tag_0009,宿舍,0.5817,extract
p_ext_000106,tag_0001,求问,0.7051,extract
p_ext_000107,tag_0001,求问,0.9824,extract
p_ext_000107,tag_0015,课程资料,0.669,extract
p_ext_000107,tag_0009,宿舍,0.8595,extract
p_ext_000107,tag_0002,校园卡,0.9169,extract
p_ext_000108,tag_0009,宿舍,0.9965,extract
p_ext_000108,tag_0001,求问,0.9553,extract
p_ext_000108,tag_0002,校园卡,0.7296,extract
p_ext_000108,tag_0016,打印店,0.6198,extract
p_ext_000109,tag_0005,闲置,0.6378,extract
p_ext_000109,tag_0021,电动车,0.5434,extract
p_ext_000109,tag_0022,教材,0.9692,extract
p_ext_000110,tag_0023,招新,0.7657,extract
p_ext_000110,tag_0024,志愿服务,0.9965,extract
p_ext_000110,tag_0010,交友,0.5847,extract
p_ext_000111,tag_0015,课程资料,0.5982,extract
p_ext_000111,tag_0016,打印店,0.808,extract
p_ext_000112,tag_0021,电动车,0.5783,extract
p_ext_000112,tag_0004,二手交易,0.5008,extract
p_ext_000112,tag_0022,教材,0.5536,extract
p_ext_000113,tag_0001,求问,0.9202,extract
p_ext_000113,tag_0002,校园卡,0.5001,extract
p_ext_000113,tag_0016,打印店,0.7242,extract
p_ext_000113,tag_0009,宿舍,0.9693,extract
p_ext_000114,tag_0009,宿舍,0.563,extract
p_ext_000114,tag_0002,校园卡,0.815,extract
p_ext_000115,tag_0025,兼职,0.5663,extract
p_ext_000115,tag_0014,实习,0.8429,extract
p_ext_000115,tag_0026,家教,0.7848,extract
p_ext_000115,tag_0027,薪资,0.8032,extract
p_ext_000116,tag_0002,校园卡,0.6904,extract
p_ext_000116,tag_0015,课程资料,0.5066,extract
p_ext_000116,tag_0009,宿舍,0.8543,extract
p_ext_000116,tag_0016,打印店,0.8033,extract
p_ext_000117,tag_0001,求问,0.5018,extract
p_ext_000117,tag_0015,课程资料,0.9145,extract
p_ext_000118,tag_0011,食堂,0.6944,extract
p_ext_000118,tag_0028,拼饭,0.7146,extract
p_ext_000119,tag_0015,课程资料,0.59,extract
p_ext_000119,tag_0016,打印店,0.8352,extract
p_ext_000119,tag_0009,宿舍,0.946,extract
p_ext_000120,tag_0016,打印店,0.9665,extract
p_ext_000120,tag_0001,求问,0.9837,extract
p_ext_000120,tag_0015,课程资料,0.7764,extract
p_ext_000120,tag_0009,宿舍,0.896,extract
p_ext_000120,tag_0002,校园卡,0.8188,extract
p_ext_000121,tag_0009,宿舍,0.7171,extract
p_ext_000121,tag_0016,打印店,0.7343,extract
p_ext_000121,tag_0001,求问,0.6126,extract
p_ext_000122,tag_0021,电动车,0.5078,extract
p_ext_000122,tag_0004,二手交易,0.8619,extract
p_ext_000122,tag_0005,闲置,0.8129,extract
p_ext_000122,tag_0006,租房,0.9183,extract
p_ext_000122,tag_0022,教材,0.7904,extract
p_ext_000123,tag_0001,求问,0.8072,extract
p_ext_000123,tag_0016,打印店,0.7938,extract
p_ext_000124,tag_0006,租房,0.9163,extract
p_ext_000124,tag_0021,电动车,0.902,extract
p_ext_000124,tag_0022,教材,0.8101,extract
p_ext_000125,tag_0029,老师,0.9465,extract
p_ext_000125,tag_0019,期末,0.6453,extract
p_ext_000125,tag_0030,给分,0.9175,extract
p_ext_000125,tag_0031,课程评价,0.9007,extract
p_ext_000126,tag_0016,打印店,0.5552,extract
p_ext_000126,tag_0002,校园卡,0.7147,extract
p_ext_000126,tag_0015,课程资料,0.8915,extract
p_ext_000127,tag_0015,课程资料,0.9948,extract
p_ext_000127,tag_0009,宿舍,0.9543,extract
p_ext_000127,tag_0001,求问,0.6212,extract
p_ext_000127,tag_0016,打印店,0.554,extract
p_ext_000128,tag_0005,闲置,0.8932,extract
p_ext_000128,tag_0021,电动车,0.9822,extract
p_ext_000128,tag_0006,租房,0.9357,extract
p_ext_000128,tag_0004,二手交易,0.5092,extract
p_ext_000128,tag_0022,教材,0.502,extract
p_ext_000129,tag_0009,宿舍,0.8895,extract
p_ext_000129,tag_0015,课程资料,0.6519,extract
p_ext_000130,tag_0032,学习经验,0.8625,extract
p_ext_000130,tag_0018,考研,0.963,extract
p_ext_000130,tag_0033,复试,0.6064,extract
p_ext_000130,tag_0017,408,0.5101,extract
p_ext_000130,tag_0034,保研,0.6636,extract
p_ext_000131,tag_0015,课程资料,0.7188,extract
p_ext_000131,tag_0002,校园卡,0.5849,extract
p_ext_000131,tag_0016,打印店,0.702,extract
p_ext_000132,tag_0012,校园生活,0.6623,extract
p_ext_000132,tag_0011,食堂,0.5482,extract
p_ext_000133,tag_0022,教材,0.6374,extract
p_ext_000133,tag_0021,电动车,0.8973,extract
